time,Branch1:pressure,Branch1:rho,Branch1:temperature,Branch1:velocity,Branch2:pressure,Branch2:rho,Branch2:temperature,Branch2:velocity,reactor:power
57,259284.49686975,865.51026802091,628.1500000007,3.2500000000086,160313.98454028,830.06508465301,782.60653879838,3.3888198760919,250000000
58,259284.93895876,865.51026802104,628.15000000012,3.2499999999965,160314.3980839,830.05415897582,782.6537972591,3.3888625700774,250000000
59,259285.37554409,865.51026802098,628.15000000036,3.2499999999677,160314.80258915,830.04346840533,782.70003857121,3.3889043482847,250000000
60,259285.80611245,865.51026802121,628.14999999937,3.2500000000171,160315.19788148,830.03301758402,782.74524266756,3.3889451925076,250000000
61,259286.23017782,865.51026802118,628.14999999949,3.2499999999986,160315.58382395,830.02281076399,782.78939116961,3.3889850803171,250000000
62,259286.64728624,865.51026802092,628.15000000066,3.2499999999987,160315.9602401,830.01285179772,782.8324674274,3.3890240081977,250000000
63,259287.05700395,865.5102680211,628.14999999985,3.2500000000026,160316.32702228,830.00314413714,782.87445652332,3.3890619563875,250000000
64,259287.45892756,865.51026802117,628.14999999954,3.2499999999998,160316.68405967,829.99369082046,782.91534532922,3.3890989132236,250000000
65,259287.85268224,865.51026802116,628.14999999956,3.250000000002,160317.03125933,829.98449447078,782.95512251227,3.3891348679747,250000000
66,259288.23792188,865.51026802103,628.15000000017,3.2499999999985,160317.36854248,829.97555729237,782.99377855098,3.3891698121413,250000000
67,259288.61432922,865.51026802106,628.15000000003,3.2500000000059,160317.69584699,829.96688107142,783.031305732,3.3892037385718,250000000
68,259288.98161564,865.51026802124,628.14999999921,3.2500000000016,160318.01312695,829.95846717478,783.06769815549,3.3892366417589,250000000
69,259289.33952197,865.51026802111,628.14999999981,3.2500000000041,160318.32035177,829.95031655427,783.1029517165,3.3892685179035,250000000
70,259289.68781707,865.5102680211,628.14999999985,3.2500000000071,160318.61750683,829.94242974932,783.13706409324,3.3892993647321,250000000
71,259290.02629842,865.510268021,628.1500000003,3.2499999999983,160318.9045926,829.93480689223,783.17003472475,3.3893291816477,250000000
72,259290.35479151,865.51026802107,628.14999999996,3.2500000000047,160319.18162515,829.92744771599,783.2018647766,3.3893579695483,250000000
73,259290.67314883,865.510268021,628.15000000029,3.2499999999978,160319.44863508,829.9203515598,783.23255711739,3.389385730881,250000000
74,259290.98125013,865.51026802098,628.15000000035,3.2500000000054,160319.70566757,829.91351738049,783.262116269,3.3894124696086,250000000
75,259291.27900113,865.510268021,628.15000000027,3.2500000000032,160319.95278191,829.90694376023,783.29054837337,3.3894381911686,250000000
76,259291.56633304,865.51026802099,628.15000000035,3.2499999999938,160320.19005127,829.90062891917,783.31786113782,3.3894629023469,250000000
77,259291.84320201,865.51026802102,628.1500000002,3.250000000006,160320.41756148,829.8945707272,783.34406378425,3.3894866114184,250000000
78,259292.10958749,865.51026802098,628.15000000037,3.2499999999949,160320.63541176,829.88876671487,783.36916700162,3.3895093278461,250000000
79,259292.36549271,865.510268021,628.15000000029,3.2500000000001,160320.84371289,829.88321408981,783.3931828753,3.3895310624962,250000000
80,259292.61094248,865.51026802109,628.14999999989,3.2499999999951,160321.04258786,829.87790974797,783.41612483812,3.3895518273354,250000000
81,259292.84598278,865.51026802107,628.14999999997,3.2499999999973,160321.23217007,829.87285029036,783.43800759822,3.3895716355965,250000000
82,259293.07068012,865.51026802105,628.15000000009,3.2500000000038,160321.412604,829.86803203693,783.45884707877,3.3895905015274,250000000
83,259293.2851198,865.51026802102,628.1500000002,3.2500000000017,160321.58404385,829.86345104226,783.47866035043,3.3896084404512,250000000
84,259293.48940547,865.5102680211,628.14999999985,3.2499999999968,160321.74665291,829.8591031124,783.49746555816,3.3896254686608,250000000
85,259293.68365819,865.51026802106,628.15000000003,3.249999999994,160321.90060336,829.85498382012,783.51528185559,3.3896416033775,250000000
86,259293.86801496,865.51026802104,628.15000000009,3.2500000000022,160322.04607519,829.85108852154,783.53212933285,3.3896568626721,250000000
